Date,Mean,Source
1881-03-06,0.01,GISTEMP
1881-02-06,-0.0296,GCAG
1881-02-06,-0.14,GISTEMP
1881-01-06,-0.0205,GCAG
1881-01-06,-0.1,GISTEMP
1880-12-06,-0.0775,GCAG
1880-12-06,-0.22,GISTEMP
1880-11-06,-0.2672,GCAG
1880-11-06,-0.19,GISTEMP
1880-10-06,-0.1786,GCAG
1880-10-06,-0.16,GISTEMP
1880-09-06,-0.0817,GCAG
1880-09-06,-0.17,GISTEMP
1880-08-06,-0.0725,GCAG
1880-08-06,-0.08,GISTEMP
1880-07-06,-0.1491,GCAG
1880-07-06,-0.24,GISTEMP
1880-06-06,-0.1692,GCAG
1880-06-06,-0.29,GISTEMP
1880-05-06,-0.0738,GCAG
1880-05-06,-0.14,GISTEMP
1880-04-06,-0.0499,GCAG
1880-04-06,-0.27,GISTEMP
1880-03-06,-0.1357,GCAG
1880-03-06,-0.18,GISTEMP
1880-02-06,-0.1229,GCAG
1880-02-06,-0.21,GISTEMP
1880-01-06,0.0009,GCAG
1880-01-06,-0.3,GISTEMP
